"","Target","Model","N_vars","All_ABC_vars","Iterations","Last_p_value","Is_uniform_end","Note"
"11","BatchID_Sphingolipids","RandomForest",12,"SPBP.18.2.O2; PC.34.2; PC.36.2; DG.40.7; LPE.22.4; Cer.18.0.O2.24.0; SM.42.1.O2; DG.38.6; Cer.18.1.O2.14.0; SM.41.1.O2; LPE.20.4; Thyroxin",3,0.2905,TRUE,"Converged to uniform A-set."
"12","BatchID_Sphingolipids","SVM",137,"PC.34.1; PC.36.5; SM.40.0.O2; SM.41.1.O2; SM.42.1.O2; PE.40.7; PC.32.1; SM.33.2.O2; SM.38.2.O2; SM.36.3.O2; Cer.18.0.O2.24.0; SM.42.1.O3; PC.O.16.0_18.2; LPE.20.4; Cer.18.0.O2.24.0.1; LPI.18.0; PE.34.1; PI.32.1; SM.39.1.O2; SE.27.1.20.3; SM.40.2.O2; SM.43.1.O2; PI.36.4; SM.39.2.O2; PI.40.6; SM.44.3.O2; SM.32.1.O2; DG.36.4; PI.34.2; PC.38.4; PI.38.6; PC.O.18.1_18.2; LPC.O.18.0; PI.38.5; LPC.18.3; DG.34.1; CAR.20.4; PI.36.5; PC.36.0; PC.34.0.O; LPC.20.5; LPC.O.18.1; PI.36.2; PC.O.18.1_20.4; SM.42.2.O2; Hex2NeuAcCer.34.1.O2; Hex2Cer.18.1.O2.18.0; LPC.O.16.1; Cer.18.1.O2.24.0; PI.40.5; PI.37.4; LPC.O.16.0; PC.O.16.1_18.1; Cer.18.1.O2.20.0.1; PI.38.4; PI.34.1; LPC.20.4; SM.43.2.O2; PC.O.16.0_20.4; PI.36.1; SM.42.4.O2; PC.O.40.7; PC.O.16.1_18.2; Cer.18.1.O2.24.0.1; SM.40.3.O2; PC.39.4; PC.34.2; PC.36.3; PC.O.16.1_16.0; ST.27.1.O.S; SM.34.0.O2; PE.40.6; PC.42.5; Cer.18.1.O2.26.0; SM.34.1.O3; PC.36.4; CAR.18.1; PC.34.0; PC.36.2; PC.32.2; PC.O.16.1_20.4; PE.O.36.6; LPE.O.18.1; Cer.18.1.O2.22.0; Hex2Cer.18.1.O2.24.0.1; SE.27.1.18.2; SM.32.2.O2; LPE.22.4; PE.36.5; PC.34.3; HexCer.18.1.O2.22.0; LPC.22.4; LPE.20.5; Cer.18.1.O2.24.1; DG.36.2; PE.38.6; SM.34.1.O2; Hex2Cer.18.1.O2.24.0; HexCer.18.1.O2.24.1; LPE.O.20.1; ST.19.2.O2.S; PC.O.16.0_16.0; SE.27.1.20.4; PC.39.5; PC.37.3; CAR.12.1; SM.34.2.O2; LPI.20.3; Cer.18.1.O2.24.1.1; Cer.18.1.O2.14.0; PC.38.6; LPC.17.0; LPC.20.0; TG.58.8; PC.30.1; LPE.O.18.2; LPC.18.0; PC.35.3; LPC.19.0; DG.34.2; LPC.15.0; PE.O.18.1_16.0; LPC.22.5; Cer.18.1.O2.18.0; PE.O.38.2; CAR.10.0; LPC.O.18.2; CAR.16.0; LPE.22.6; HexCer.18.1.O2.24.0; PE.O.16.1_20.4; PC.40.8; PC.37.6; CAR.14.1; LPC.19.1; PE.O.16.1_18.2; LPC.20.2",1,0.345,TRUE,"Converged to uniform A-set."
"13","ESOM","RandomForest",19,"PI.36.2; PI.37.4; PI.38.4; PI.40.5; CAR.20.4; LPC.18.3; LPC.20.5; PC.34.1; PC.34.2; PC.36.3; PC.38.4; PC.O.16.0_20.4; PC.O.16.1_20.4; PC.O.18.1_18.2; PC.O.18.1_20.4; PC.O.40.7; SM.42.1.O2; SM.42.1.O3; SM.44.3.O2",1,0.1345,TRUE,"Converged to uniform A-set."
"14","ESOM","SVM",59,"LPC.18.3; PC.O.40.7; PI.38.4; CAR.20.4; LPC.20.5; PC.O.18.1_18.2; PC.34.2; PC.38.4; PC.O.18.1_20.4; PI.36.2; SM.42.1.O2; SM.42.1.O3; PC.O.16.0_20.4; PI.37.4; SM.44.3.O2; PC.36.3; PC.34.1; PC.O.16.1_20.4; PC.36.2; PI.36.4; PC.36.4; PC.O.16.1_18.1; PI.38.5; PI.40.5; PC.O.16.0_16.0; PC.34.3; PC.42.5; SM.41.1.O2; PC.O.16.1_18.2; PC.32.2; PC.O.16.1_16.0; PI.34.2; PI.34.1; SM.40.2.O2; SM.43.1.O2; CAR.16.0; PI.36.1; PC.34.0.O; PC.32.1; SE.27.1.18.2; SM.39.1.O2; SM.40.0.O2; SM.43.2.O2; ST.19.2.O2.S; PE.O.16.1_20.4; PI.40.6; PC.36.5; CAR.18.1; Thyroxin; PI.36.3; CAR.12.1; LPE.22.5; PC.36.0; SM.39.2.O2; PC.35.4; Cer.18.1.O2.14.0; PE.O.16.1_18.2; LPC.O.16.1; PC.38.6",2,0.519,TRUE,"Converged to uniform A-set."
"15","Month","RandomForest",49,"CAR.20.4; PC.O.40.7; PC.O.18.1_18.2; LPC.18.3; PC.O.16.1_18.1; PC.38.4; PC.O.16.0_20.4; PI.36.2; PC.34.2; PI.38.4; PC.O.16.1_18.2; PC.O.18.1_20.4; PC.O.16.1_20.4; SM.42.1.O2; LPC.20.5; PI.38.5; PC.O.16.0_16.0; PC.36.3; PI.40.5; PI.37.4; PI.36.1; PC.34.0.O; PC.36.4; PC.O.16.1_16.0; SM.42.1.O3; SM.44.3.O2; PC.36.2; PI.34.1; PC.34.3; PI.36.4; CAR.10.0; SM.40.2.O2; CAR.16.0; PC.34.1; CAR.12.1; TG.60.2; CAR.18.1; SM.41.1.O2; PC.O.16.0_18.2; TG.60.3; ST.19.2.O2.S; SM.40.0.O2; SM.43.1.O2; HexCer.18.1.O2.24.1; PI.34.2; PC.42.5; PC.32.2; CAR.14.1; SM.43.2.O2",1,0.181,TRUE,"Converged to uniform A-set."
"16","Month","SVM",128,"FA.18.1; FA.18.2; FA.18.3; FA.20.4; FA.22.6; LPC.O.16.0; LPC.O.16.1; LPC.O.18.0; LPC.O.18.1; LPC.O.18.2; LPE.20.3; LPE.20.4; LPE.20.5; LPE.22.5; LPE.22.6; LPI.18.0; LPI.20.4; Hex2NeuAcCer.34.1.O2; PE.O.16.1_18.2; PE.O.16.1_20.4; PE.O.18.2_20.4; PE.O.36.6; PE.O.38.3; PI.32.0; PI.32.1; PI.34.1; PI.34.2; PI.36.1; PI.36.2; PI.36.3; PI.36.4; PI.36.5; PI.37.4; PI.38.4; PI.38.5; PI.38.6; PI.40.5; PI.40.6; ST.19.2.O2.S; Thyroxin; CAR.10.0; CAR.12.1; CAR.14.1; CAR.16.0; CAR.18.1; CAR.20.4; DG.38.6; DG.40.6; DG.40.7; HexCer.18.1.O2.22.0; HexCer.18.1.O2.24.1; LPC.18.3; LPC.20.4; LPC.20.5; LPC.22.0; LPC.22.6; LPC.O.24.1; PC.29.0; PC.31.0; PC.31.1; PC.32.1; PC.32.2; PC.33.2; PC.34.0.O; PC.34.1; PC.34.2; PC.34.3; PC.34.4; PC.35.3; PC.35.4; PC.36.0; PC.36.2; PC.36.3; PC.36.4; PC.36.5; PC.36.6; PC.37.1; PC.37.3; PC.37.4; PC.37.6; PC.38.4; PC.38.6; PC.39.3; PC.39.5; PC.39.6; PC.40.8; PC.42.5; PC.O.16.0_16.0; PC.O.16.0_18.2; PC.O.16.0_20.4; PC.O.16.1_16.0; PC.O.16.1_18.1; PC.O.16.1_18.2; PC.O.16.1_20.4; PC.O.18.0_20.4; PC.O.18.1_18.1; PC.O.18.1_18.2; PC.O.18.1_20.4; PC.O.40.7; SM.32.1.O2; SM.34.0.O2; SM.34.1.O2; SM.35.1.O2; SM.37.2.O2; SM.38.2.O2; SM.39.1.O2; SM.39.2.O2; SM.40.0.O2; SM.40.2.O2; SM.40.3.O2; SM.41.1.O2; SM.42.1.O2; SM.42.1.O3; SM.42.2.O2; SM.42.4.O2; SM.43.1.O2; SM.43.2.O2; SM.44.3.O2; TG.53.2; TG.54.1; TG.56.1; TG.56.3; TG.58.5; TG.60.2; TG.60.3; TG.O.52.3; SPBP.16.1.O2; Cer.18.1.O2.14.0",1,0.137,TRUE,"Converged to uniform A-set."
"17","PsA","RandomForest",12,"LPC.18.3; LPC.20.5; PC.O.40.7; PI.38.4; CAR.20.4; PC.38.4; PC.34.2; SM.42.1.O3; SM.44.3.O2; PC.O.18.1_18.2; PC.42.5; SE.27.1.18.2",3,0.606,TRUE,"Converged to uniform A-set."
"18","PsA","SVM",3,"LPC.18.3; PC.38.4; LPC.20.5",5,1,TRUE,"Converged to uniform A-set."
"19","Sampling_weekday","RandomForest",7,"PC.36.6; LPC.O.24.1; aLEA; ST.27.1.O.S; PC.O.16.1_20.4; PC.38.1; LPC.20.2",1,0.591,TRUE,"Converged to uniform A-set."
"20","Sampling_weekday","SVM",18,"LPC.O.18.0; LPC.O.18.1; LPE.18.0; LPE.18.2; ST.27.1.O.S; Cer.18.0.O2.24.0; LPC.17.0; LPC.18.0; LPC.18.2; LPC.19.0; LPC.20.0; LPC.20.2; LPC.22.0; LPC.O.24.1; PC.34.0; SE.27.1.20.2; LPA.18.0; LPA.20.4",3,0.35,TRUE,"Converged to uniform A-set."
"21","gender","RandomForest",4,"SM.32.2.O2; PC.34.3; ST.27.1.O.S; PC.32.2",4,0.6645,TRUE,"Converged to uniform A-set."
"22","gender","SVM",20,"PC.32.2; PC.33.2; PC.34.3; PC.35.3; PI.36.2; CAR.20.4; PI.38.5; ST.19.2.O2.S; PC.37.6; SM.36.3.O2; PI.36.3; PC.35.2; PI.34.2; PI.37.4; LPC.20.4; PI.38.6; ST.27.1.O.S; HexCer.18.1.O2.24.0.O; PC.36.2; PC.36.3",3,0.5745,TRUE,"Converged to uniform A-set."
